question,sql,similar_queries,response,extracted_python_code
List the total number of customers and suppliers in each nation. Order by nation name,"SELECT n_name AS nation_name, COUNT(DISTINCT c_custkey) AS total_customers, COUNT(DISTINCT s_suppkey) AS total_suppliers FROM nation LEFT JOIN customer ON n_nationkey = c_nationkey LEFT JOIN supplier ON n_nationkey = s_nationkey GROUP BY n_name;","1. Count customers and suppliers by region:

# Count customers and suppliers by region
nation_counts = regions.CALCULATE(
    region_name=name,
    n_customers=COUNT(nations.customers),
    n_suppliers=COUNT(nations.suppliers)
)","Here's how we can approach this problem:

1.  We need to start with the `nations` collection.
2.  For each nation, we need to count the number of customers.
3.  For each nation, we need to count the number of suppliers.
4.  We need to order the results by nation name.

Here's the PyDough code:

```python
nation_counts = nations.CALCULATE(
    nation_name=name,
    n_customers=COUNT(customers),
    n_suppliers=COUNT(suppliers)
).ORDER_BY(nation_name.ASC())
```

Explanation:

*   `nations.CALCULATE(...)`: This starts with the `nations` collection and uses `CALCULATE` to create new fields.
*   `nation_name=name`: This renames the `name` field to `nation_name`.
*   `n_customers=COUNT(customers)`: This counts the number of customers for each nation.
*   `n_suppliers=COUNT(suppliers)`: This counts the number of suppliers for each nation.
*   `.ORDER_BY(nation_name.ASC())`: This orders the results by the `nation_name` field in ascending order.

","nation_counts = nations.CALCULATE(
    nation_name=name,
    n_customers=COUNT(customers),
    n_suppliers=COUNT(suppliers)
).ORDER_BY(nation_name.ASC())"
Find the top 5 nations with the highest number of orders placed by their customers in 1995.,"SELECT n_name AS nation_name, COUNT(o_orderkey) AS total_orders FROM nation JOIN customer ON n_nationkey = c_nationkey JOIN orders ON c_custkey = o_custkey WHERE o_orderdate >= '1995-01-01' AND o_orderdate <= '1995-12-31' GROUP BY n_name ORDER BY total_orders DESC LIMIT 5;","1. Top 5 nations by average order value in 1995:

orders_in_1995= customers.orders.WHERE(YEAR(order_date) == 1995)

top_5_nations = nations.CALCULATE(
    nation_name=name,
    average_orders= AVG(orders_in_1995), 
    order_count=COUNT(orders_in_1995)
).TOP_K(5, by=average_orders.DESC())","Okay, let's break this down into smaller parts.

1.  We need to find the orders placed in 1995.
2.  We need to associate these orders with the customers who placed them.
3.  We need to associate the customers with their respective nations.
4.  We need to count the number of orders for each nation.
5.  Finally, we need to find the top 5 nations with the highest order count.

Here's the PyDough code:

```python
top_5_nations_by_orders_1995 = nations.CALCULATE(
    nation_name=name,
    order_count=COUNT(customers.orders.WHERE(YEAR(order_date) == 1995))
).TOP_K(5, by=order_count.DESC())
```

Explanation:

1.  We start with the `nations` collection because we want to find the top 5 nations.
2.  We use `CALCULATE` to create two new fields: `nation_name` (which is just the name of the nation) and `order_count`.
3.  To calculate `order_count`, we access the `customers` sub-collection of each nation, then the `orders` sub-collection of each customer.
4.  We filter the orders to only include those placed in 1995 using `WHERE(YEAR(order_date) == 1995)`.
5.  We use `COUNT` to count the number of orders for each nation that satisfy the condition.
6.  Finally, we use `TOP_K(5, by=order_count.DESC())` to select the top 5 nations with the highest `order_count`, sorting in descending order.
","top_5_nations_by_orders_1995 = nations.CALCULATE(
    nation_name=name,
    order_count=COUNT(customers.orders.WHERE(YEAR(order_date) == 1995))
).TOP_K(5, by=order_count.DESC())"
"Find the region name with the highest total order value in 1996. The total order value is defined as potential revenue, defined as the sum of extended_price * (1 - discount)","SELECT r_name AS region_name, SUM(l_extendedprice * (1 - l_discount)) AS total_order_value FROM region JOIN nation ON r_regionkey = n_regionkey JOIN customer ON n_nationkey = c_nationkey JOIN orders ON c_custkey = o_custkey JOIN lineitem ON o_orderkey = l_orderkey WHERE o_orderdate >= '1996-01-01' AND o_orderdate <= '1996-12-31' GROUP BY r_name ORDER BY total_order_value DESC LIMIT 1;",,"Okay, let's break down this task into smaller parts.

1.  **Calculate the total order value for each region in 1996.**  The total order value is defined as the sum of `extended_price * (1 - discount)`.
2.  **Find the region with the highest total order value.**
3.  **Return the region name and total order value.**

Here's how we can translate that into PyDough code:

```python
region_order_values_1996 = regions.CALCULATE(
    region_name=name,
    total_order_value=SUM(nations.customers.orders.WHERE(YEAR(order_date) == 1996).lines.CALCULATE(line_value = extended_price * (1 - discount)).line_value)
).TOP_K(1, by=total_order_value.DESC())
```

**Explanation:**

*   `regions.CALCULATE(...)`: Start with the `regions` collection and calculate the required fields.
*   `region_name=name`: Select the region name.
*   `total_order_value=SUM(...)`: Calculate the sum of the order values for each region.
    *   `nations.customers.orders`: Access the orders through the nations and customers.
    *   `.WHERE(YEAR(order_date) == 1996)`: Filter the orders to include only those from 1996.
    *   `.lines.CALCULATE(line_value = extended_price * (1 - discount)).line_value)`: Calculate the line value for each line item.
*   `.TOP_K(1, by=total_order_value.DESC())`: Select the top 1 region based on the total order value in descending order.
","region_order_values_1996 = regions.CALCULATE(
    region_name=name,
    total_order_value=SUM(nations.customers.orders.WHERE(YEAR(order_date) == 1996).lines.CALCULATE(line_value = extended_price * (1 - discount)).line_value)
).TOP_K(1, by=total_order_value.DESC())"
Find the top 3 regions with the most distinct customers,"SELECT r_name AS region_name, COUNT(DISTINCT c_custkey) AS distinct_customers FROM region JOIN nation ON r_regionkey = n_regionkey JOIN customer ON n_nationkey = c_nationkey GROUP BY r_name ORDER BY distinct_customers DESC LIMIT 3;","1. Find the top 10 with the most distinct suppliers

top_regions = regions.CALCULATE(
    region_name=name,
    suppliers_count=NDISTINCT(nations.suppliers.key))
).TOP_K(10, by=customer_count.DESC())""
","Okay, I'll generate the PyDough code to find the top 3 regions with the most distinct customers.

1.  **Access the `regions` collection.**
2.  **Calculate the number of distinct customers for each region.**  This involves traversing from `regions` to `nations` and then to `customers`.  I'll use `NDISTINCT` to count the distinct customer keys.
3.  **Select the top 3 regions based on the distinct customer count.**  I'll use `TOP_K` to achieve this.

Here's the PyDough code:

```python
top_regions = regions.CALCULATE(
    region_name=name,
    customer_count=NDISTINCT(nations.customers.key)
).TOP_K(3, by=customer_count.DESC())
```

Explanation:

*   `regions.CALCULATE(...)`:  Starts with the `regions` collection and uses `CALCULATE` to create new fields.
*   `region_name=name`:  Selects the name of the region.
*   `customer_count=NDISTINCT(nations.customers.key)`:  Counts the distinct customer keys associated with each region.  It traverses the relationship from `regions` to `nations` and then to `customers` to access the customer keys.
*   `.TOP_K(3, by=customer_count.DESC())`:  Selects the top 3 regions based on the `customer_count` in descending order.
","top_regions = regions.CALCULATE(
    region_name=name,
    customer_count=NDISTINCT(nations.customers.key)
).TOP_K(3, by=customer_count.DESC())"
Find the names of all customers and number of orders placed in 1995 in Europe who have an account balance greater than $700 and placed at least one order in 1995. Sorted in descending order by the number of orders.,"SELECT c.c_name AS customer_name, COUNT(o.o_orderkey) AS order_count_1995 FROM customer c JOIN nation n ON c.c_nationkey = n.n_nationkey JOIN region r ON n.n_regionkey = r.r_regionkey JOIN orders o ON c.c_custkey = o.o_custkey WHERE r.r_name = 'EUROPE' AND c.c_acctbal > 700 AND o.o_orderdate BETWEEN '1995-01-01' AND '1995-12-31' GROUP BY c.c_name, c.c_acctbal ORDER BY order_count_1995 DESC, c.c_acctbal DESC;",,"Okay, let's break down this request into smaller parts:

1.  **Initial Collection**: We need to start with the `customers` collection.
2.  **Filtering**:
    *   Customers in Europe: Filter customers based on their nation's region being ""EUROPE"".
    *   Account balance greater than $700: Filter customers with `acctbal > 700`.
    *   Placed at least one order in 1995: Ensure the customer has at least one order in 1995.
3.  **Calculation**:
    *   Number of orders placed in 1995: Count the number of orders placed by each customer in 1995.
    *   Customer Name: Get the name of each customer.
4.  **Sorting**: Sort the results in descending order based on the number of orders.

Now, let's translate this into PyDough code:

```python
european_customers_1995 = customers.WHERE(
    (nation.region.name == ""EUROPE"") & (acctbal > 700) & (HAS(orders.WHERE(YEAR(order_date) == 1995))==1)
).CALCULATE(
    customer_name=name,
    num_orders_1995=COUNT(orders.WHERE(YEAR(order_date) == 1995))
).ORDER_BY(num_orders_1995.DESC())
```

Explanation:

1.  `customers.WHERE(...)`: Starts with the `customers` collection and filters based on the following conditions:
    *   `(nation.region.name == ""EUROPE"")`: Filters for customers whose nation's region is ""EUROPE"".
    *   `(acctbal > 700)`: Filters for customers with an account balance greater than 700.
    *   `(HAS(orders.WHERE(YEAR(order_date) == 1995))==1)`: Filters for customers who have at least one order in 1995.
2.  `.CALCULATE(...)`: Calculates the following for each customer:
    *   `customer_name=name`: Selects the customer's name.
    *   `num_orders_1995=COUNT(orders.WHERE(YEAR(order_date) == 1995))`: Counts the number of orders placed by the customer in 1995.
3.  `.ORDER_BY(num_orders_1995.DESC())`: Sorts the results in descending order based on the number of orders in 1995.
","european_customers_1995 = customers.WHERE(
    (nation.region.name == ""EUROPE"") & (acctbal > 700) & (HAS(orders.WHERE(YEAR(order_date) == 1995))==1)
).CALCULATE(
    customer_name=name,
    num_orders_1995=COUNT(orders.WHERE(YEAR(order_date) == 1995))
).ORDER_BY(num_orders_1995.DESC())"
"Find suppliers in each nation who have a total availqty of more than 1000 units of parts with 'BRASS' in their type. List the supplier name, nation name, and the sum of the parts supplied.","SELECT s.s_name AS SupplierName, n.n_name AS Nation, SUM(ps.ps_availqty) AS TotalUnitsSupplied FROM supplier s JOIN nation n ON s.s_nationkey = n.n_nationkey JOIN partsupp ps ON s.s_suppkey = ps.ps_suppkey JOIN part p ON ps.ps_partkey = p.p_partkey WHERE p.p_type LIKE '%BRASS%' GROUP BY s.s_name, n.n_name HAVING SUM(ps.ps_availqty) > 1000 ORDER BY TotalUnitsSupplied DESC;",,"```python
nation_suppliers = nations.CALCULATE(
    nation_name=name,
    suppliers_info=suppliers.CALCULATE(
        supplier_name=name,
        total_availqty=SUM(
            supply_records.WHERE(CONTAINS(part.part_type, 'BRASS')).availqty
        )
    ).KEEP_IF(total_availqty, total_availqty > 1000)
).suppliers_info.CALCULATE(supplier_name=supplier_name, nation_name=nation_name, total_availqty=total_availqty)
```

**Explanation:**

The error message ""Expected an expression, but received a collection"" indicates that the `WHERE` clause is being used in a context where an expression is expected. In PyDough, `WHERE` is typically used to filter collections, but in this case, it's being applied within a `CALCULATE` function, which expects an expression to define a new field.

To fix this, we can replace the `.WHERE(total_availqty > 1000)` with `.KEEP_IF(total_availqty, total_availqty > 1000)`. The `KEEP_IF` function allows us to conditionally keep the calculated `total_availqty` based on the specified condition. If the condition `total_availqty > 1000` is true, the `total_availqty` is kept; otherwise, it becomes null. This aligns with the original intent of filtering suppliers based on their `total_availqty`.
","nation_suppliers = nations.CALCULATE(
    nation_name=name,
    suppliers_info=suppliers.CALCULATE(
        supplier_name=name,
        total_availqty=SUM(
            supply_records.WHERE(CONTAINS(part.part_type, 'BRASS')).availqty
        )
    ).KEEP_IF(total_availqty, total_availqty > 1000)
).suppliers_info.CALCULATE(supplier_name=supplier_name, nation_name=nation_name, total_availqty=total_availqty)"
Find parts names that are supplied by at least five different nations. Show the part name and the count of distinct nations that supply each part,"SELECT p.P_NAME AS PartName, COUNT(DISTINCT n.N_NAME) AS NumberOfNations FROM PART p JOIN PARTSUPP ps ON p.P_PARTKEY = ps.PS_PARTKEY JOIN SUPPLIER s ON ps.PS_SUPPKEY = s.S_SUPPKEY JOIN NATION n ON s.S_NATIONKEY = n.N_NATIONKEY GROUP BY p.P_NAME HAVING COUNT(DISTINCT n.N_NAME) > 5 ORDER BY NumberOfNations DESC;",,"```python
part_nations = parts.supply_records.supplier.nation.CALCULATE(nation_key=key)
parts_by_name = PARTITION(parts, name='part_group', by=name).CALCULATE(
    part_name=name,
    num_nations=NDISTINCT(part_group.supply_records.supplier.nation_key)
).WHERE(num_nations >= 5)
```

**Explanation:**

1.  **`part_nations = parts.supply_records.supplier.nation.CALCULATE(nation_key=key)`**: This line is not necessary for the final result, but it is useful to understand the relationship between parts and nations. It calculates the nation key for each part.
2.  **`parts_by_name = PARTITION(parts, name='part_group', by=name).CALCULATE(...)`**: This line partitions the `parts` collection by the `name` field, creating a partition named `part_group`.
3.  **`.CALCULATE(part_name=name, num_nations=NDISTINCT(part_group.supply_records.supplier.nation_key))`**: Inside the `CALCULATE` function:
    *   `part_name=name`: Selects the name of the part.
    *   `num_nations=NDISTINCT(part_group.supply_records.supplier.nation_key)`: Counts the number of distinct nations that supply each part within the partition. It navigates from the `part_group` (which represents a group of parts with the same name) to the `supply_records`, then to the `supplier`, then to the `nation`, and finally counts the distinct `nation_key` values.
4.  **`.WHERE(num_nations >= 5)`**: This line filters the results to include only those parts that are supplied by at least five different nations.
","part_nations = parts.supply_records.supplier.nation.CALCULATE(nation_key=key)
parts_by_name = PARTITION(parts, name='part_group', by=name).CALCULATE(
    part_name=name,
    num_nations=NDISTINCT(part_group.supply_records.supplier.nation_key)
).WHERE(num_nations >= 5)"
"Which 10 customers purchased the highest quantity of products with 'green' in the product name during 1998? Provide their names, adress and the total quantity ordered.","SELECT c_name AS customer_name, c_address AS customer_address, SUM(l_quantity) AS total_quantity_ordered FROM customer JOIN orders ON c_custkey = o_custkey JOIN lineitem ON o_orderkey = l_orderkey JOIN part ON l_partkey = p_partkey WHERE p_name LIKE '%green%' AND strftime('%Y', o_orderdate) = '1998' GROUP BY c_name, c_address ORDER BY total_quantity_ordered DESC LIMIT 10;",,"Okay, let's analyze the error and the provided PyDough code to address the issue.

**Error Analysis:**

The error message ""Unrecognized term of simple table collection 'lines' in graph 'TPCH': 'order_date'"" indicates that you're trying to access `order_date` directly from the `lines` collection, which is incorrect. The `order_date` is an attribute of the `orders` collection, not the `lines` collection. The `lines` collection is linked to the `orders` collection through the `order_key`.

**Logical Analysis:**

The original question asks for the top 10 customers who purchased the highest quantity of products with 'green' in the product name during 1998. The provided code attempts to achieve this, but the incorrect placement of the `WHERE` clause for `YEAR(order_date)` leads to the error.

**Corrected PyDough Code:**

```python
top_customers = customers.CALCULATE(
    customer_name=name,
    customer_address=address,
    total_quantity=SUM(
        orders.WHERE(YEAR(order_date) == 1998).lines.part.WHERE(CONTAINS(name, 'green')).quantity
    )
).TOP_K(10, by=total_quantity.DESC())
```

**Explanation of Corrections:**

1.  **Moved `WHERE(YEAR(order_date) == 1998)`:** The `WHERE` clause filtering by `order_date` is moved to the `orders` collection. This is because `order_date` is a property of the `orders` collection. Now, we are filtering the orders placed in 1998.
2.  The rest of the code remains the same, as it correctly calculates the total quantity of 'green' products purchased by each customer.

**Step-by-step Explanation:**

1.  `customers.CALCULATE(...)`: Start with the `customers` collection and use `CALCULATE` to define the fields we want to retrieve.
2.  `customer_name=name`: Select the customer's name.
3.  `customer_address=address`: Select the customer's address.
4.  `total_quantity=SUM(...)`: Calculate the total quantity ordered by each customer.
    *   `orders.WHERE(YEAR(order_date) == 1998)`: Access the orders for each customer and filter for orders placed in 1998.
    *   `.lines.part.WHERE(CONTAINS(name, 'green'))`: Access the lines for each order, then access the part for each line and filter for parts with 'green' in their name.
    *   `.quantity`: Access the quantity ordered for each line.
    *   `SUM(...)`: Sum the quantities for each customer.
5.  `.TOP_K(10, by=total_quantity.DESC())`: Select the top 10 customers based on the total quantity ordered in descending order.
","top_customers = customers.CALCULATE(
    customer_name=name,
    customer_address=address,
    total_quantity=SUM(
        orders.WHERE(YEAR(order_date) == 1998).lines.part.WHERE(CONTAINS(name, 'green')).quantity
    )
).TOP_K(10, by=total_quantity.DESC())"
Which is the average discount applied on orders for each market segment? Sorted in descending order,"SELECT c_mktsegment AS market_segment, AVG(l_discount) AS average_discount FROM customer JOIN orders ON c_custkey = o_custkey JOIN lineitem ON o_orderkey = l_orderkey GROUP BY c_mktsegment;","1. Average shipping delay by supplier:
```python
avg_shipping_delay_by_supplier = suppliers.CALCULATE(
    supplier_name=name,
    average_shipping_delay=AVG(lines.ship_date - lines.commit_date)
)
```
2. Average price by part size:
```python
avg_price_by_part_size = GROUP_BY(
    parts,
    name= ""part"",
 by=(part_size)
).CALCULATE(
 part_size= part_size,
 average_retail_price= AVG(part.retail_price)
)```","Okay, let's break this down into smaller parts.

1.  We need to calculate the average discount applied on orders for each market segment.
2.  We need to sort the result in descending order.

Here's how we can approach this:

1.  Start with the `customers` collection since we need to group by market segment.
2.  Calculate the average discount for each market segment using `PARTITION`.
3.  Sort the result in descending order using `ORDER_BY`.

```python
market_segment_avg_discount = PARTITION(customers, name='cust', by=mktsegment).CALCULATE(
    mktsegment=mktsegment,
    avg_discount=AVG(cust.orders.lines.discount)
).ORDER_BY(avg_discount.DESC())
```

Explanation:

*   `PARTITION(customers, name='cust', by=mktsegment)`: This partitions the `customers` collection by `mktsegment`, creating a group named `cust` for each unique market segment.
*   `.CALCULATE(mktsegment=mktsegment, avg_discount=AVG(cust.orders.lines.discount))`: This calculates the average discount for each market segment.
    *   `mktsegment=mktsegment`: This selects the market segment name.
    *   `avg_discount=AVG(cust.orders.lines.discount)`: This calculates the average discount by accessing the `orders` sub-collection of each customer, then the `lines` sub-collection of each order, and finally taking the average of the `discount` field.
*   `.ORDER_BY(avg_discount.DESC())`: This sorts the result in descending order based on the calculated average discount.
","market_segment_avg_discount = PARTITION(customers, name='cust', by=mktsegment).CALCULATE(
    mktsegment=mktsegment,
    avg_discount=AVG(cust.orders.lines.discount)
).ORDER_BY(avg_discount.DESC())"
What were the 20 most popular products (parts) within each market segment in 1998?,"WITH ProductPopularity AS (SELECT c_mktsegment AS market_segment, p_name AS product_name, SUM(l_quantity) AS total_quantity FROM customer JOIN orders ON c_custkey = o_custkey JOIN lineitem ON o_orderkey = l_orderkey JOIN part ON l_partkey = p_partkey WHERE strftime('%Y', o_orderdate) = '1998' GROUP BY c_mktsegment, p_name) SELECT market_segment, product_name, total_quantity FROM (SELECT market_segment, product_name, total_quantity, ROW_NUMBER() OVER (PARTITION BY market_segment ORDER BY total_quantity DESC) AS rank FROM ProductPopularity) WHERE rank <= 20;",,"```python
# Calculate the year of the order
order_data = orders.CALCULATE(order_year=YEAR(order_date))

# Group by market segment, calculate the order count for each part
segment_part_sales = orders.WHERE(YEAR(order_date) == 1998).CALCULATE(
    part_key=lines.part_key,
    mktsegment=customer.mktsegment
)

# Partition by market segment
top_per_segment = PARTITION(
    segment_part_sales,
    name='segment_group',
    by=mktsegment
).CALCULATE(
    mktsegment=mktsegment,
    part_name=segment_group.part_key.part.name,
    total_sold=COUNT(segment_group.part_key),
    rank=RANKING(by=COUNT(segment_group.part_key).DESC(), levels=1)
).WHERE(rank <= 20).ORDER_BY(mktsegment.ASC(), total_sold.DESC())

# Final Calculation
final_result = top_per_segment.CALCULATE(
    mktsegment=mktsegment,
    part_name=part_name,
    total_sold=total_sold
)
```

**Reasoning for the fix:**

The error message `Unrecognized term of simple table collection 'lines' in graph 'TPCH': 'customer'` indicates that you're trying to access `customer` directly from the `lines` collection, which is not a valid relationship. The `lines` collection does not have a direct relationship to `customer`. Instead, you need to traverse through `orders` to reach `customer`.

Here's a breakdown of the changes and why they were made:

1.  **Corrected `segment_part_sales` calculation:**

    *   The original code started with `customers.CALCULATE(mktsegment=mktsegment).orders...`. This is incorrect because we need to start with `orders` and then link to `customers` to get the `mktsegment`.
    *   The corrected code starts with `orders.WHERE(YEAR(order_date) == 1998).CALCULATE(part_key=lines.part_key, mktsegment=customer.mktsegment)`. This starts with the `orders` collection, filters for the year 1998, and then calculates the `part_key` from the `lines` subcollection and the `mktsegment` from the `customer` relationship.

2.  **Corrected `part_name` calculation:**

    *   The original code had `part_name=segment_group.part.name`.  Since `segment_group.part_key` is the foreign key to the `parts` collection, you need to access the `part` collection first and then get the `name`.
    *   The corrected code has `part_name=segment_group.part_key.part.name`. This correctly accesses the `part` collection using the `part_key` and then retrieves the `name`.

With these changes, the code should now correctly calculate the top 20 most popular products per market segment in 1998.
","# CALCULATE the year of the order
order_data = orders.CALCULATE(order_year=YEAR(order_date))

# Group by market segment, CALCULATE the order count for each part
segment_part_sales = orders.WHERE(YEAR(order_date) == 1998).CALCULATE(
    part_key=lines.part_key,
    mktsegment=customer.mktsegment
)

# PARTITION by market segment
top_per_segment = PARTITION(
    segment_part_sales,
    name='segment_group',
    by=mktsegment
).CALCULATE(
    mktsegment=mktsegment,
    part_name=segment_group.part_key.part.name,
    total_sold=COUNT(segment_group.part_key),
    rank=RANKING(by=COUNT(segment_group.part_key).DESC(), levels=1)
).WHERE(rank <= 20).ORDER_BY(mktsegment.ASC(), total_sold.DESC())

# Final Calculation
final_result = top_per_segment.CALCULATE(
    mktsegment=mktsegment,
    part_name=part_name,
    total_sold=total_sold
)"
