db_id,query,query_toks,question,question_toks,sql,source_file,split,dataset_name,query_id
GeoNuclearData,"SELECT Country FROM nuclear_power_plants WHERE Status = ""Operational"" GROUP BY Country ORDER BY count(Name) DESC LIMIT 10","['SELECT', 'Country', 'FROM', 'nuclear_power_plants', 'WHERE', 'Status', '=', '""Operational""', 'GROUP', 'BY', 'Country', 'ORDER', 'BY', 'count(Name)', 'DESC', 'LIMIT', '10']",What are the top 10 countries with most number of operational plants?,"['What', 'are', 'the', 'top', '10', 'countries', 'with', 'most', 'number', 'of', 'operational', 'plants?']","{'from': {'table_units': [['table_unit', 0]], 'conds': []}, 'select': [False, [[0, [0, [0, 5, False], None]]]], 'where': [[False, 2, [0, [0, 6, False], None], '""Operational""', None]], 'groupBy': [[0, 5, False]], 'having': [], 'orderBy': ['desc', [[0, [3, 2, False], None]]], 'limit': 10, 'intersect': None, 'union': None, 'except': None}",GeoNuclearData.json,main,GeoNuclearData,1
GeoNuclearData,"SELECT Name, Country FROM nuclear_power_plants WHERE Status = ""Planned""","['SELECT', 'Name,', 'Country', 'FROM', 'nuclear_power_plants', 'WHERE', 'Status', '=', '""Planned""']",What are the planed nuclear power plants and their located countries?,"['What', 'are', 'the', 'planed', 'nuclear', 'power', 'plants', 'and', 'their', 'located', 'countries?']","{'from': {'table_units': [['table_unit', 0]], 'conds': []}, 'select': [False, [[0, [0, [0, 2, False], None]], [0, [0, [0, 5, False], None]]]], 'where': [[False, 2, [0, [0, 6, False], None], '""Planned""', None]], 'groupBy': [], 'having': [], 'orderBy': [], 'limit': None, 'intersect': None, 'union': None, 'except': None}",GeoNuclearData.json,main,GeoNuclearData,2
GeoNuclearData,SELECT ReactorModel FROM nuclear_power_plants GROUP BY ReactorModel ORDER BY count(*) DESC LIMIT 1,"['SELECT', 'ReactorModel', 'FROM', 'nuclear_power_plants', 'GROUP', 'BY', 'ReactorModel', 'ORDER', 'BY', 'count(*)', 'DESC', 'LIMIT', '1']",What’s the most used nuclear reactor model?,"['What’s', 'the', 'most', 'used', 'nuclear', 'reactor', 'model?']","{'from': {'table_units': [['table_unit', 0]], 'conds': []}, 'select': [False, [[0, [0, [0, 8, False], None]]]], 'where': [], 'groupBy': [[0, 8, False]], 'having': [], 'orderBy': ['desc', [[0, [3, 0, False], None]]], 'limit': 1, 'intersect': None, 'union': None, 'except': None}",GeoNuclearData.json,main,GeoNuclearData,3
GeoNuclearData,"SELECT Country FROM nuclear_power_plants WHERE Name = ""Kaiga-4""","['SELECT', 'Country', 'FROM', 'nuclear_power_plants', 'WHERE', 'Name', '=', '""Kaiga-4""']",Which country is Kaiga-4 built in?,"['Which', 'country', 'is', 'Kaiga-4', 'built', 'in?']","{'from': {'table_units': [['table_unit', 0]], 'conds': []}, 'select': [False, [[0, [0, [0, 5, False], None]]]], 'where': [[False, 2, [0, [0, 2, False], None], '""Kaiga-4""', None]], 'groupBy': [], 'having': [], 'orderBy': [], 'limit': None, 'intersect': None, 'union': None, 'except': None}",GeoNuclearData.json,main,GeoNuclearData,4
GeoNuclearData,"SELECT count(*) FROM nuclear_power_plants WHERE ReactorType = ""PHWR""","['SELECT', 'count(*)', 'FROM', 'nuclear_power_plants', 'WHERE', 'ReactorType', '=', '""PHWR""']",How many PHWR are there today?,"['How', 'many', 'PHWR', 'are', 'there', 'today?']","{'from': {'table_units': [['table_unit', 0]], 'conds': []}, 'select': [False, [[3, [0, [0, 0, False], None]]]], 'where': [[False, 2, [0, [0, 7, False], None], '""PHWR""', None]], 'groupBy': [], 'having': [], 'orderBy': [], 'limit': None, 'intersect': None, 'union': None, 'except': None}",GeoNuclearData.json,main,GeoNuclearData,5
GeoNuclearData,SELECT count(DISTINCT ReactorModel) FROM nuclear_power_plants,"['SELECT', 'count(DISTINCT', 'ReactorModel)', 'FROM', 'nuclear_power_plants']",How many kinds of nuclear reactor model in the world?,"['How', 'many', 'kinds', 'of', 'nuclear', 'reactor', 'model', 'in', 'the', 'world?']","{'from': {'table_units': [['table_unit', 0]], 'conds': []}, 'select': [False, [[3, [0, [0, 8, True], None]]]], 'where': [], 'groupBy': [], 'having': [], 'orderBy': [], 'limit': None, 'intersect': None, 'union': None, 'except': None}",GeoNuclearData.json,main,GeoNuclearData,6
GeoNuclearData,"SELECT count(*) FROM nuclear_power_plants WHERE Status = ""Shutdown""","['SELECT', 'count(*)', 'FROM', 'nuclear_power_plants', 'WHERE', 'Status', '=', '""Shutdown""']",How many nuclear power plants were shut down now?,"['How', 'many', 'nuclear', 'power', 'plants', 'were', 'shut', 'down', 'now?']","{'from': {'table_units': [['table_unit', 0]], 'conds': []}, 'select': [False, [[3, [0, [0, 0, False], None]]]], 'where': [[False, 2, [0, [0, 6, False], None], '""Shutdown""', None]], 'groupBy': [], 'having': [], 'orderBy': [], 'limit': None, 'intersect': None, 'union': None, 'except': None}",GeoNuclearData.json,main,GeoNuclearData,7
GeoNuclearData,SELECT Country FROM nuclear_power_plants Group BY Country HAVING count(Name) > 3,"['SELECT', 'Country', 'FROM', 'nuclear_power_plants', 'Group', 'BY', 'Country', 'HAVING', 'count(Name)', '>', '3']",How many countries have at least 3 nuclear power plants?,"['How', 'many', 'countries', 'have', 'at', 'least', '3', 'nuclear', 'power', 'plants?']","{'from': {'table_units': [['table_unit', 0]], 'conds': []}, 'select': [False, [[0, [0, [0, 5, False], None]]]], 'where': [], 'groupBy': [[0, 5, False]], 'having': [[False, 3, [0, [3, 2, False], None], 3.0, None]], 'orderBy': [], 'limit': None, 'intersect': None, 'union': None, 'except': None}",GeoNuclearData.json,main,GeoNuclearData,8
GeoNuclearData,SELECT Country FROM nuclear_power_plants GROUP BY Country ORDER BY count(name) DESC LIMIT 1,"['SELECT', 'Country', 'FROM', 'nuclear_power_plants', 'GROUP', 'BY', 'Country', 'ORDER', 'BY', 'count(name)', 'DESC', 'LIMIT', '1']",Which country has the most nuclear power plants?,"['Which', 'country', 'has', 'the', 'most', 'nuclear', 'power', 'plants?']","{'from': {'table_units': [['table_unit', 0]], 'conds': []}, 'select': [False, [[0, [0, [0, 5, False], None]]]], 'where': [], 'groupBy': [[0, 5, False]], 'having': [], 'orderBy': ['desc', [[0, [3, 2, False], None]]], 'limit': 1, 'intersect': None, 'union': None, 'except': None}",GeoNuclearData.json,main,GeoNuclearData,9
GeoNuclearData,SELECT Country FROM nuclear_power_plants GROUP BY Country HAVING count(Name) = 1,"['SELECT', 'Country', 'FROM', 'nuclear_power_plants', 'GROUP', 'BY', 'Country', 'HAVING', 'count(Name)', '=', '1']",Which country has only one nuclear power plants?,"['Which', 'country', 'has', 'only', 'one', 'nuclear', 'power', 'plants?']","{'from': {'table_units': [['table_unit', 0]], 'conds': []}, 'select': [False, [[0, [0, [0, 5, False], None]]]], 'where': [], 'groupBy': [[0, 5, False]], 'having': [[False, 2, [0, [3, 2, False], None], 1.0, None]], 'orderBy': [], 'limit': None, 'intersect': None, 'union': None, 'except': None}",GeoNuclearData.json,main,GeoNuclearData,10
GeoNuclearData,SELECT Country FROM nuclear_power_plants GROUP BY Country ORDER BY sum(Capacity) DESC LIMIT 1,"['SELECT', 'Country', 'FROM', 'nuclear_power_plants', 'GROUP', 'BY', 'Country', 'ORDER', 'BY', 'sum(Capacity)', 'DESC', 'LIMIT', '1']",Which country has the most capacities of nuclear power plants?,"['Which', 'country', 'has', 'the', 'most', 'capacities', 'of', 'nuclear', 'power', 'plants?']","{'from': {'table_units': [['table_unit', 0]], 'conds': []}, 'select': [False, [[0, [0, [0, 5, False], None]]]], 'where': [], 'groupBy': [[0, 5, False]], 'having': [], 'orderBy': ['desc', [[0, [4, 12, False], None]]], 'limit': 1, 'intersect': None, 'union': None, 'except': None}",GeoNuclearData.json,main,GeoNuclearData,11
GeoNuclearData,SELECT Country FROM nuclear_power_plants GROUP BY Country ORDER BY sum(Capacity) LIMIT 1,"['SELECT', 'Country', 'FROM', 'nuclear_power_plants', 'GROUP', 'BY', 'Country', 'ORDER', 'BY', 'sum(Capacity)', 'LIMIT', '1']",Which country has the least capacities of nuclear power plants?,"['Which', 'country', 'has', 'the', 'least', 'capacities', 'of', 'nuclear', 'power', 'plants?']","{'from': {'table_units': [['table_unit', 0]], 'conds': []}, 'select': [False, [[0, [0, [0, 5, False], None]]]], 'where': [], 'groupBy': [[0, 5, False]], 'having': [], 'orderBy': ['asc', [[0, [4, 12, False], None]]], 'limit': 1, 'intersect': None, 'union': None, 'except': None}",GeoNuclearData.json,main,GeoNuclearData,12
GeoNuclearData,SELECT Country FROM nuclear_power_plants GROUP BY Country ORDER BY sum(Name) DESC LIMIT 3,"['SELECT', 'Country', 'FROM', 'nuclear_power_plants', 'GROUP', 'BY', 'Country', 'ORDER', 'BY', 'sum(Name)', 'DESC', 'LIMIT', '3']",What are the top 3 countries which have the most nuclear power plants?,"['What', 'are', 'the', 'top', '3', 'countries', 'which', 'have', 'the', 'most', 'nuclear', 'power', 'plants?']","{'from': {'table_units': [['table_unit', 0]], 'conds': []}, 'select': [False, [[0, [0, [0, 5, False], None]]]], 'where': [], 'groupBy': [[0, 5, False]], 'having': [], 'orderBy': ['desc', [[0, [4, 2, False], None]]], 'limit': 3, 'intersect': None, 'union': None, 'except': None}",GeoNuclearData.json,main,GeoNuclearData,13
